longitude,latitude,total_tested,total_positive,prevalence
40.05868,-3.08722,108,8,0.074074074
40.06446,-1.62362,108,4,0.037037037
40.0699,-3.2085,100,48,0.48
40.07761,-3.15931,101,6,0.059405941
40.08,-1.61111,110,1,0.009090909
40.08292,-3.16368,185,83,0.448648649
40.0843,-3.294,100,59,0.59
40.08864,-3.203,206,44,0.213592233
40.09194,-2.92722,108,0,0
40.09508,-3.10343,101,5,0.04950495
40.09665,-1.7546,108,11,0.101851852
40.10201,-3.21874,208,13,0.0625
40.10261,-1.8299,109,9,0.082568807
40.10809,-3.12791,108,3,0.027777778
40.10856,-2.26538,108,0,0
40.109,-3.1281,101,67,0.663366337
40.11143,-3.0758,108,0,0
40.11625,-3.09983,88,1,0.011363636
40.11838,-3.1708,188,42,0.223404255
40.11909,-3.21838,191,1,0.005235602
40.12071,-1.69295,105,2,0.019047619
40.12225,-1.67133,110,1,0.009090909
40.12385,-1.65841,110,6,0.054545455
40.12394,-2.34789,103,0,0
40.1243,-1.7966,108,1,0.009259259
40.13331,-2.18248,103,1,0.009708738
40.13647,-1.7344,107,9,0.08411215
40.1405,-3.1403,100,58,0.58
40.1405,-3.068,100,49,0.49
40.14368,-2.73201,104,1,0.009615385
40.14741,-2.37358,92,1,0.010869565
40.14855,-3.10645,106,1,0.009433962
40.16583,-2.24149,104,0,0
40.17096,-2.43784,110,1,0.009090909
40.17208,-3.02028,106,1,0.009433962
40.17934,-2.232,110,1,0.009090909
40.18063,-2.209,108,0,0
40.18489,-2.47074,109,0,0
40.18693,-2.4561,111,0,0
40.1953,-2.9966,100,79,0.79
40.20013,-2.41189,110,0,0
40.25609,1.10364,109,0,0
40.26968,-2.5058,102,0,0
40.28469,-2.5068,109,1,0.009174312
40.29557,-2.51107,107,0,0
40.3081,0.0544,198,21,0.106060606
40.32143,-2.51798,108,0,0
40.43909,-2.38468,108,0,0
40.51356,-1.59858,322,1,0.00310559
40.53213,-2.5213,105,0,0
40.54412,-2.51127,105,0,0
40.6482,-2.3806,108,7,0.064814815
40.67518,-2.37438,110,0,0
40.69421,-2.44244,110,0,0
40.69982,-2.30187,107,0,0
40.7217,-2.4282,178,2,0.011235955
40.77522,-2.39026,56,0,0
40.8173,-2.17995,105,0,0
40.84885,-2.23212,110,1,0.009090909
41.2161,3.9335,191,16,0.083769634
41.8622,3.9522,207,0,0
